259;  Public Policy Polling, 1,125, ± 2.9%, March 27– 30, 2013
202;  Quinnipiac University, 554, ± 4.2%, February 22 – March 2, 2015
145;  Bloomberg, 500, ± 4.4%, July 30 – August 2, 2015
130;  Civis Analytics, 757, ± 4.2%, August 10–19, 2015
26;  Ipsos/Reuters, 730, ± 2.5%, December 12–16, 2015
258;  Quinnipiac, 712, ± 3.7%, March 26– April 1, 2013
214b;  CNN/ORC, 510, ± 4.5%, November 21–23, 2014
203;  The Economist/ YouGov, 255, ± 4.6%, February 21–23, 2015
144;  Fox News, 475, ±%, July 30 – August 2, 2015
131;  The Economist/ YouGov, 451, ± 2.8%, August 14–18, 2015
27;  Morning Consult, 1530, ± 2.0%, December 11–15, 2015
200;  CNN/ORC, 450, ± 4.5%, March 13–15, 2015
147;  CBS News, 408, ±%, July 29 – August 2, 2015
132;  Morning Consult, 783, ± 2.0%, August 14–16, 2015
24;  Public Policy Polling, 532, ± 4.3%, December 16–17, 2015
201;  McClatchy- Marist, 426, ± 4.7%, March 1–4, 2015
146;  Monmouth University, 423, ± 4.8%, July 30 – August 2, 2015
133;  CNN/ORC, 506, ± 4.5%, August 13–16, 2015
98;  Suffolk/ USA Today, 380 LV, 5.03%, September 24–28, 2015
25;  Morning Consult, 861, ± 3.0%, December 16–17, 2015
206;  Fox News, 394, ± 4.5%, January 25–27, 2015
178;  The Economist/ YouGov, 255, ± 4.4%, May 30 – June 1, 2015
141;  Zogby/ University of Akron, 565, ± 4.2%, August 3–4, 2015
134;  Fox News, 381, ±%, August 11–13, 2015
22;  Quinnipiac, 508, ± 4.4%, December 16–20, 2015
207;  Public Policy Polling, 400, ± 4.9%, January 22–25, 2015
179;  CNN/ORC, 483, 4.5%, May 29–31, 2015
140;  Ipsos/Reuters, 341, ± 6.0%, August 1–5, 2015
135;  Ipsos/Reuters, 451, ± 5.2%, August 8–12, 2015
23;  Fox News, 402, ± 3.0%, December 16–17, 2015
204;  Public Policy Polling, 316, ± 5.5%, February 20–22, 2015
143;  Morning Consult, 783, ± 2%, July 31 – August 3, 2015
